question,expected,actual_1,actual_2,actual_3,verdict
What is required to propose marriage in singleplayer mode in Stardew Valley?,"To propose marriage in singleplayer mode, players need to upgrade the farmhouse at least once, reach 10 hearts of friendship with the intended partner, and acquire a Mermaid's Pendant from the Old Mariner.","To propose, you must reach 10 friendship hearts with a single marriage candidate. After giving them a bouquet at 8 hearts, upgrade your farmhouse at least once, repair the bridge to the Tidal Pools (300 wood), and ensure it’s a rainy day. Then buy a Mermaid's Pendant (5,000g) from the Old Mariner at the beach. In winter, use a Rain Totem since it doesn’t rain naturally.","To propose marriage, you must reach 10 hearts with a marriage candidate by first giving them a bouquet at 8 hearts. You also need to upgrade your farmhouse at least once and repair the beach bridge to access the tidal pools. Then, buy a Mermaid's Pendant from the Old Mariner for 5,000g on a rainy day (except in Winter, when a Rain Totem is needed). The Old Mariner only appears if all conditions are met.","In singleplayer, you can propose marriage to a ""single"" villager after reaching 10 hearts of friendship with them. You must give a bouquet at 8 hearts, upgrade your farmhouse at least once, and unlock the Tide Pool area of the Beach.",FAIL
What is the consequence of giving a Wilted Bouquet to a dating partner?,Giving a Wilted Bouquet to a dating partner ends the relationship and drops their friendship level to 5 hearts.,"Giving a Wilted Bouquet to a dating partner ends the romantic relationship immediately and lowers their friendship level to 5 hearts (1250 points). However, you can still talk to and gift them afterward. Each partner reacts uniquely to receiving the bouquet.","Giving a Wilted Bouquet to a dating partner immediately ends the relationship and reduces their friendship level to 5 hearts (1250 points). While they will have a unique reaction to receiving it, you can still talk to and gift them afterward.","Giving a Wilted Bouquet to a dating partner ends the dating relationship and reduces their friendship level to 5 hearts (1250 points). You'll still be able to talk and give gifts to them afterward, unlike the consequences of a divorce. It’s a way to break up without permanent estrangement.",PASS
What is the purchase price of the Cowgal Hat?,"The Cowgal Hat can be purchased for 5,000g.","The Cowgal Hat can be purchased for 5,000g from the Abandoned House after earning the ""Monoculture"" achievement (shipping 300 of one crop).","The Cowgal Hat can be purchased for 5,000g at the Abandoned House after earning the ""Monoculture"" achievement, which requires shipping 300 of the same crop.","The Cowgal Hat costs 5,000g and can be purchased at the Abandoned House after earning the ""Monoculture"" achievement by shipping 300 of one crop.",PASS
Where can the Cowgal Hat be purchased from?,The Cowgal Hat can be purchased from the Abandoned House.,"The Cowgal Hat can be purchased from the Abandoned House for 5,000g after earning the ""Monoculture"" achievement, which requires shipping 300 of one crop.","The Cowgal Hat can be purchased from the Abandoned House for 5,000g after earning the ""Monoculture"" Achievement, which requires shipping 300 of one crop.","The Cowgal Hat can be purchased from the Abandoned House for 5,000g after earning the ""Monoculture"" Achievement, which requires shipping 300 of a single crop.",PASS
When does the furniture 'Tropical Fish #173' become available for purchase in Stardew Valley?,The 'Tropical Fish #173' becomes available starting in year 3 during the Night Market on Winter 16.,"The furniture item ""Tropical Fish #173"" becomes available for purchase on Winter 16 during the Night Market starting in year 3. It rotates into Famous Painter Lupini's stock on that date and reappears every three years. It costs 1,200g.","The Tropical Fish #173 furniture becomes available for purchase from Famous Painter Lupini at the Night Market on Winter 16, starting in Year 3. It reappears every three years on the same date and costs 1,200g.","The 'Tropical Fish #173' furniture is available for purchase on Winter 16 during the Night Market, starting in Year 3. It reappears every three years on Winter 16 and costs 1,200g.",PASS
How much does the furniture 'Tropical Fish #173' cost in Stardew Valley?,"The 'Tropical Fish #173' costs 1,200g.","The 'Tropical Fish #173' furniture costs 1,200g. It is available from Famous Painter Lupini's stock at the Night Market on Winter 16, starting in Year 3.","The 'Tropical Fish #173' furniture costs 1,200g and is available from Famous Painter Lupini during the Night Market on Winter 16, starting in Year 3.","The 'Tropical Fish #173' furniture costs 1,200g and is available from Famous Painter Lupini's stock on Winter 16 during the Night Market, starting in year 3 and reappearing every three years.",PASS
Where can Shadow Brutes be found?,Shadow Brutes are found in the Mines on floors 81-119.,"Shadow Brutes can be found in the Mines, specifically on floors 81 to 119. Let me know if you'd like tips on dealing with them or details about their drops!","Shadow Brutes can be found in the Mines on floors 81–119. They appear in their standard form and also as a more dangerous variant if the Shrine of Challenge is activated or during the ""Danger In The Deep"" quest.","Shadow Brutes can be found in the Mines on floors 81 to 119. If the Shrine of Challenge is activated or during the ""Danger In The Deep"" quest, dangerous versions of Shadow Brutes appear in the same range.",PASS
What is the base damage of a Shadow Brute?,The base damage of a Shadow Brute is 18.,The base damage of a Shadow Brute is 18.,The base damage of a Shadow Brute is 18.,A regular Shadow Brute has a base damage of 18.,PASS
Where can the Small Crystal be purchased for 750g?,The Small Crystal can be purchased for 750g at the Carpenter's Shop.,The Small Crystal can be purchased for 750g at the Carpenter's Shop when it rotates into the shop's daily stock.,The Small Crystal can be purchased for 750g from the Carpenter's Shop when it rotates into their stock.,"The Small Crystal can be purchased at the Carpenter's Shop for 750g. It can also appear at the Traveling Cart for a variable price of 250g–2,500g, or can be acquired through the Furniture Catalogue for free.",PASS
Can the Small Crystal be sold in Stardew Valley?,The Small Crystal cannot be sold in Stardew Valley.,"The Small Crystal cannot be sold. It is a piece of furniture obtainable through various means, including purchase from the Carpenter's Shop, the Traveling Cart, or the Furniture Catalogue, and can also spawn inside the farmhouse on a Hill-top Farm.",The Small Crystal is a furniture item and cannot be sold.,"The Small Crystal cannot be sold. It is a furniture item that can be obtained through various means, such as purchasing or finding it in specific farm types or activities.",FAIL
What is the crafting recipe source for the Stone Fence?,The crafting recipe source for the Stone Fence is Farming (Level 2).,The crafting recipe for the Stone Fence is unlocked at Farming Level 2.,The crafting recipe for the Stone Fence is unlocked at Farming Level 2.,The crafting recipe for the Stone Fence is unlocked at Farming Level 2.,PASS
How long does a Stone Fence last in Stardew Valley?,A Stone Fence lasts for 106 to 109 days in Stardew Valley.,A Stone Fence lasts for 106 to 109 days before it begins to decay.,A Stone Fence lasts for 106 to 109 days before it starts to decay.,A Stone Fence lasts for 106 to 109 days before it starts to decay.,FAIL
What is the price of the J. Cola Light when purchased at JojaMart?,The J. Cola Light can be purchased at JojaMart for 500g.,The J. Cola Light can be purchased at JojaMart for 500g.,The J. Cola Light costs 500g when purchased at JojaMart.,The J. Cola Light costs 500g when purchased at JojaMart.,PASS
Can the J. Cola Light be placed outdoors?,The J. Cola Light cannot be placed outdoors.,"The J. Cola Light is a wall-hanging furniture item and does not seem designed for outdoor placement. It does not provide light at night, which might make it more fitting for indoor use. Let me know if you need confirmation or more details.","The J. Cola Light is a wall-mounted piece of furniture and doesn't explicitly state it can be placed outdoors. Generally, wall-mounted items are restricted to indoor placement unless otherwise noted. Let me know if you'd like me to check further details.","The J. Cola Light is a wall-mounted furniture item and does not provide light at night. It is not intended to be placed outdoors, as it functions as an indoor decoration.",PASS
Where can the Lingcod be caught in Stardew Valley?,The Lingcod can be caught in the river or the Mountain Lake during Winter.,Lingcod can be caught in the river (either in Pelican Town or Cindersap Forest) or in Mountain Lake during the Winter season. You can also catch it in any season using Magic Bait. Lingcod can be caught at any time of day and in any weather.,"The Lingcod can be caught in the river (Pelican Town or Cindersap Forest) and the Mountain Lake, primarily during winter. Using Magic Bait allows you to catch it any season.",Lingcod can be caught in the river (Pelican Town or Cindersap Forest) and the Mountain Lake during Winter. It can also be caught year-round using Magic Bait. It requires no specific weather or time.,PASS
What is a possible alternative way to obtain a Lingcod aside from fishing in Stardew Valley?,The Lingcod can also be gifted by a pet cat with max friendship.,"Aside from fishing, you can get a Lingcod as a gift from your pet cat if you have max friendship. It may also appear for purchase at Krobus' shop on Wednesdays for 200g or from the Traveling Cart for 360–1,000g.","Aside from fishing, you can obtain a Lingcod by purchasing it from Krobus's shop on Wednesdays or from the Traveling Cart (if available). Additionally, if you have max friendship with your pet cat, it can randomly gift you one.","Aside from fishing, you can obtain a Lingcod by purchasing it from Krobus's shop on Wednesdays or from the Traveling Cart. Additionally, with maximum friendship, your pet cat might gift you one.",PASS
